blockId,x,y,z,faces
minecraft:grass_block,0,0,0,N:1|S:0|E:1|W:0|U:1|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,0,0,1,N:1|S:1|E:0|W:0|U:1|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,0,0,2,N:1|S:0|E:0|W:0|U:1|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,0,0,3,N:1|S:0|E:0|W:0|U:1|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,0,0,4,N:1|S:0|E:0|W:0|U:1|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,0,0,5,N:1|S:0|E:0|W:0|U:1|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,0,0,6,N:1|S:1|E:0|W:0|U:1|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,0,0,7,N:1|S:0|E:0|W:0|U:1|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,0,0,8,N:1|S:1|E:0|W:0|U:1|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,0,0,9,N:1|S:0|E:0|W:0|U:1|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,0,0,10,N:1|S:1|E:0|W:0|U:1|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,0,0,11,N:1|S:1|E:0|W:0|U:1|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,0,0,12,N:1|S:1|E:0|W:0|U:1|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,0,0,13,N:1|S:1|E:0|W:0|U:1|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,0,0,14,N:1|S:1|E:0|W:1|U:1|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,1,0,0,N:1|S:0|E:1|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,1,0,1,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,1,0,2,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,1,0,3,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:dark_oak_log,1,0,4,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,1,0,5,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,1,0,6,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,1,0,7,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,1,0,8,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,1,0,9,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:dark_oak_log,1,0,10,N:1|S:0|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
minecraft:grass_block,1,0,11,N:1|S:1|E:0|W:0|U:0|D:0|shape:FULL|facing:none|half:none
